Level	Rule Name	Subject	Property	Value
ERROR	missing_label	NCBITaxon:9606	rdfs:label	
WARN	missing_definition	NCBITaxon:9606	IAO:0000115	
WARN	missing_definition	description	IAO:0000115	
WARN	missing_definition	license	IAO:0000115	
WARN	missing_definition	title	IAO:0000115	
INFO	missing_superclass	civil birth record	rdfs:subClassOf	
INFO	missing_superclass	civil death record	rdfs:subClassOf	
INFO	missing_superclass	organism identifier	rdfs:subClassOf	
INFO	missing_superclass	human identifier	rdfs:subClassOf	
INFO	missing_superclass	NCBITaxon:9606	rdfs:subClassOf	
