?x	?label
_:Bd8f280baX2D773aX2D4affX2Daf41X2D1a822b3de09bgenid102	
_:Bd8f280baX2D773aX2D4affX2Daf41X2D1a822b3de09bgenid88	
_:Bd8f280baX2D773aX2D4affX2Daf41X2D1a822b3de09bgenid98	
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000003>	"occurrent"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"
<http://purl.obolibrary.org/obo/BFO_0000017>	"realizable entity"
<http://purl.obolibrary.org/obo/BFO_0000020>	"specifically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000031>	"generically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/IAO_0000030>	"information content entity"
<http://purl.obolibrary.org/obo/IOIO_0000001>	"human birth statement"
<http://purl.obolibrary.org/obo/IOIO_0000002>	"civil birth record"
<http://purl.obolibrary.org/obo/IOIO_0000003>	"human death statement"
<http://purl.obolibrary.org/obo/IOIO_0000004>	"civil death record"
<http://purl.obolibrary.org/obo/IOIO_0000005>	"human birth temporal information"
<http://purl.obolibrary.org/obo/IOIO_0000006>	"human death temporal information"
<http://purl.obolibrary.org/obo/IOIO_0000010>	"biological sex information content entity"
<http://purl.obolibrary.org/obo/IOIO_0000011>	"human biological sex information content entity"
<http://purl.obolibrary.org/obo/IOIO_0000012>	"human biological sex or gender identity information content entity"
<http://purl.obolibrary.org/obo/IOIO_0000014>	"human identifier"
<http://purl.obolibrary.org/obo/IOIO_0000015>	"human biological sex statement"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"Eukaryota"
<http://purl.obolibrary.org/obo/NCBITaxon_9606>	"Homo sapiens"
<http://purl.obolibrary.org/obo/OBI_0000260>	"plan"
<http://purl.obolibrary.org/obo/OBI_0100026>	"organism"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000010>	"pragmatically accepted statement"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000030>	"temporally qualifying statement"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000031>	"process temporally qualifying statement"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000043>	"agent plan to act as if some statement was true"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000065>	"temporal information"
<http://purl.obolibrary.org/obo/SEPIO_0000174>	"statement"
<http://www.ontologyrepository.com/CommonCoreOntologies/Agent>	"Agent"
